id,symbol,name,current_price,market_cap,total_volume,market_cap_change_percentage_24h,ath,atl
rollbit-coin,RLB,Rollbit Coin,0.247229,815322267,10748342,4.47901,0.248568,0.00093506
eos,EOS,EOS,0.718141,810528930,196397061,4.4937,22.71,0.5024
axie-infinity,AXS,Axie Infinity,6.09,809311167,78269872,-0.39699,164.9,0.123718
decentraland,MANA,Decentraland,0.437768,804971668,105365782,1.67618,5.85,0.00923681
tezos,XTZ,Tezos,0.894199,796503666,46042818,3.23537,9.12,0.350476
whitebit,WBT,WhiteBIT Coin,5.38,774922558,4992877,-0.25336,14.64,3.06
kava,KAVA,Kava,0.84132,772920394,38755037,12.64589,9.12,0.287137
xdce-crowd-sale,XDC,XDC Network,0.05495,762720593,19811535,6.61276,0.192754,0.00039532
usdd,USDD,USDD,0.997262,723674161,31925845,-0.50072,1.052,0.928067
first-digital-usd,FDUSD,First Digital USD,0.999141,681905430,242767435,-0.04085,1.041,0.942129
mina-protocol,MINA,Mina Protocol,0.675945,676153808,64229862,-1.63999,9.09,0.351341
bitget-token,BGB,Bitget Token,0.480605,673392018,24797753,-0.25712,0.515471,0.0142795
frax,FRAX,Frax,0.999554,671783575,8883802,0.17735,1.14,0.874536
gala,GALA,GALA,0.02400479,666640097,1203976458,2.68929,0.824837,0.00013475
flow,FLOW,Flow,0.623945,647076407,68687823,0.48404,42.4,0.391969
rocket-pool,RPL,Rocket Pool,31.68,628628474,13711726,-4.48617,61.9,0.00884718
ecash,XEC,eCash,3.11E-05,605976592,16696497,-1.01732,0.00038001,1.85E-05
kucoin-shares,KCS,KuCoin,6.21,600624678,199840,1.69714,28.83,0.342863
frax-ether,FRXETH,Frax Ether,2060.77,598119533,3143263,-1.57354,2134.61,1137.25
conflux-token,CFX,Conflux,0.172794,595346330,84474649,4.05838,1.7,0.02199898
chiliz,CHZ,Chiliz,0.083522,582830867,143806292,8.96994,0.878633,0.00410887
iota,IOTA,IOTA,0.191704,576340067,21723052,6.77309,5.25,0.081637
sui,SUI,Sui,0.588509,569453338,191137432,5.68549,2.16,0.364846
gatechain-token,GT,Gate,4.18,569394578,1889602,-1.51284,12.94,0.25754
wemix-token,WEMIX,WEMIX,1.75,564974446,7987013,-5.03894,24.71,0.128398
trust-wallet-token,TWT,Trust Wallet,1.35,561212229,52364987,-0.43627,2.72,0.00277641
tokenize-xchange,TKX,Tokenize Xchange,6.94,557340551,12359427,0.91803,22.3,0.111255
curve-dao-token,CRV,Curve DAO,0.605453,550375810,151090989,0.47208,15.37,0.331577
illuvium,ILV,Illuvium,90.64,545235325,101086186,1.63759,1911.26,29.23
cheelee,CHEEL,Cheelee,10.14,544937424,4645269,3.44595,17.32,3.44
pepe,PEPE,Pepe,1.30E-06,544916486,165335360,-0.34474,4.31E-06,6.00E-08
apecoin,APE,ApeCoin,1.45,532752223,82048688,3.03643,26.7,1.008
frax-share,FXS,Frax Share,6.89,517040375,57113631,-3.19088,42.8,1.5
dydx,ETHDYDX,dYdX,2.84,510686720,290796196,4.92257,27.86,1.011
compound-ether,CETH,cETH,41.44,503300609,575.03,-3.95029,97.75,1.89
gmx,GMX,GMX,53.29,489775626,42959257,-0.13517,91.07,11.53
tether-gold,XAUT,Tether Gold,1938.48,477921061,9729944,-0.70614,2169.74,1447.84
terra-luna,LUNC,Terra Luna Classic,8.21E-05,477029861,311243553,10.69239,119.18,1.00E-06
klay-token,KLAY,Klaytn,0.146771,475533984,10642503,0.02584,4.34,0.06044
